player_id,market_value_in_eur,current_club_id_x,last_season,current_club_id_y,height_in_cm,international_caps,international_goals,current_national_team_id,highest_market_value_in_eur,Transfer_Year,Inflation_Multiplier,Adjusted_Fee_EUR,Transfer_Fee_2024_GBP,Contract_Years_Left,Age,Injury_Days_Total_24m,Risk_Contract,Risk_Age,Risk_Injury,Total_Risk_Score,League_Index,name
16911,250000,9265.0,2025,371,189.0,120.0,0.0,3436.0,12000000.0,2004,1.0,250000.0,212500.0,5.0,37.15537303216975,15,0,1,0,1,0.4,Kasper Schmeichel
29559,300000,3631.0,2025,786,185.0,152.0,0.0,6303.0,8000000.0,2005,1.0,300000.0,255000.0,3.5,38.469541409993155,7,0,1,0,1,0.4,Guillermo Ochoa
28396,200000,814.0,2025,33,193.0,146.0,72.0,3446.0,32000000.0,2006,1.0,200000.0,170000.0,2.5,37.79329226557152,30,0,1,0,1,0.4,Edin Dzeko
46104,1200000,669.0,2025,829,183.0,90.0,37.0,11953.0,30000000.0,2007,1.0,1200000.0,1020000.0,2.0,34.16290212183436,15,0,1,0,1,0.4,Stevan Jovetić
37666,5000000,2433.0,2025,2433,180.0,147.0,34.0,3700.0,45000000.0,2007,1.0,5000000.0,4250000.0,1.0,36.61327857631759,0,1,1,0,2,0.4,Arturo Vidal
28396,4000000,814.0,2025,33,193.0,146.0,72.0,3446.0,32000000.0,2007,1.0,4000000.0,3400000.0,1.0,37.79329226557152,0,1,1,0,2,0.4,Edin Dzeko
16911,500000,281.0,2025,371,189.0,120.0,0.0,3436.0,12000000.0,2007,1.0,500000.0,425000.0,0.5,37.15537303216975,15,1,1,0,2,0.4,Kasper Schmeichel
51894,250000,7804.0,2025,36,196.0,37.0,0.0,3381.0,5000000.0,2007,1.0,250000.0,212500.0,3.0,34.836413415468854,0,0,1,0,1,0.4,Mert Günok
56809,50000,1082.0,2025,515,184.0,7.0,0.0,3614.0,3000000.0,2007,1.0,50000.0,42500.0,1.5,35.45242984257358,7,0,1,0,1,0.4,Alexandre Oukidja
49500,200000,45193.0,2025,45193,174.0,97.0,1.0,3504.0,5000000.0,2007,1.0,200000.0,170000.0,0.5,35.1129363449692,15,1,1,0,2,0.4,Roberto Rosales
57482,100000,20518.0,2025,20518,169.0,41.0,1.0,16430.0,500000.0,2007,1.0,100000.0,85000.0,4.0,35.76728268309377,0,0,1,0,1,0.4,Mohamed Youssouf
46104,4000000,669.0,2025,829,183.0,90.0,37.0,11953.0,30000000.0,2007,1.0,4000000.0,3400000.0,3.0,34.16290212183436,120,0,1,1,2,0.4,Stevan Jovetić
